Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
005_6111_FY19,22.75,22.5,24,23.5,23.5,24,,,,,,,,,,,,,,,,,,,
005_6120_FY19,25.25,24.5,25.5,24,,,,,,,,,,,,,,,,,,,,,
005_6122_FY19,15.5,18,20,21.75,20,21.25,,,,,,,,,,,,,,,,,,,
005_6125_FY19,22,22,22.25,22,21.75,20.75,21,,,,,,,,,,,,,,,,,,
005_6227_FY19,13.75,16.75,17.75,17.5,15.75,14.75,14.75,22,17.5,16,,,,,,,,,,,,,,,
005_6332_FY19,21.25,21.25,22,24.25,21.5,23.25,22.25,22.75,24.5,24,23.75,24.25,,,,,,,,,,,,,
005_6434_FY19,11.25,11,9.5,10.5,11.25,12.5,17,,,,,,,,,,,,,,,,,,
005_6534_FY19,24.5,25,23.75,24,,,,,,,,,,,,,,,,,,,,,
005_6536_FY19,18.5,15.25,14.25,16,18.75,18.5,,,,,,,,,,,,,,,,,,,
005_6541_FY19,20.25,18.75,19,14,15.25,14.5,,,,,,,,,,,,,,,,,,,
005_6546_FY19,22.25,23,24.75,23.75,24.25,22.75,22.25,22.75,,,,,,,,,,,,,,,,,
005_6638_FY19,16.5,16.5,17.75,15.25,14.5,15,18.5,16.75,5.75,4,8,,,,,,,,,,,,,,
005_6639_FY19,20.75,10,15,17.25,19.25,19.25,11,18.25,17,,,,,,,,,,,,,,,,
005_6755_FY19,20,8.5,14,15.5,19.25,21,,,,,,,,,,,,,,,,,,,
005_6856_FY19,21.75,21,20.75,18.75,19.5,,,,,,,,,,,,,,,,,,,,
005_6964_FY19,19,17.5,18.25,19,22,20.25,,,,,,,,,,,,,,,,,,,
005_7061_FY19,22,21.25,21.5,24,21.25,23.25,,,,,,,,,,,,,,,,,,,
005_7062_FY19,10.75,10.75,9,10,10.75,12,17.25,,,,,,,,,,,,,,,,,,
005_7065_FY19,24.25,24.5,24.25,23.75,23.25,23.25,,,,,,,,,,,,,,,,,,,
005_7072_FY19,15.25,13,13.25,18.5,18.75,,,,,,,,,,,,,,,,,,,,
005_7168_FY19,18,21.25,20,19.5,,,,,,,,,,,,,,,,,,,,,
005_7169_FY19,20.75,20.5,19,21.25,20.75,,,,,,,,,,,,,,,,,,,,
005_7273_FY19,16,18.5,21.5,21,21,11,11.5,13.5,20.25,,,,,,,,,,,,,,,,
005_7369_FY19,21,19.25,18.5,20.5,19.5,22.25,21,,,,,,,,,,,,,,,,,,
005_7373_FY19,22.75,22.5,24,22.25,22,22,23,,,,,,,,,,,,,,,,,,
005_7477_FY19,21.75,21.5,17.25,18.5,18.5,22,25.5,,,,,,,,,,,,,,,,,,
005_7484_FY19,18,17,16,14.5,16.25,18,18,17.75,,,,,,,,,,,,,,,,,
005_7578_FY19,22.5,21.75,24,22.75,22.75,23.25,,,,,,,,,,,,,,,,,,,
005_7580_FY19,16,11,3,3.5,2.25,7.25,11,14.5,17.25,19.75,9.75,9.75,9.25,12.5,,,,,,,,,,,
005_7586_FY19,18.25,21,22.5,22.5,14.25,,,,,,,,,,,,,,,,,,,,
005_7679_FY19,22,21.25,21.5,24,21.25,23.25,,,,,,,,,,,,,,,,,,,
005_7685_FY19,17,20.75,18.25,18.75,,,,,,,,,,,,,,,,,,,,,
005_7686_FY19,15.5,17.75,21.75,20.5,21.25,10.25,11.25,13.25,20,,,,,,,,,,,,,,,,
005_7784_FY19,19.5,18.75,17.75,16.5,17.75,19.25,,,,,,,,,,,,,,,,,,,
005_7791_FY19,11.5,11.5,9.25,10.25,11.25,12.5,17,,,,,,,,,,,,,,,,,,
005_8257_FY19,23.75,25.25,24,23.25,23.5,24.5,,,,,,,,,,,,,,,,,,,
005_8262_FY19,12.5,16,13.5,8,5.5,11,13.25,,,,,,,,,,,,,,,,,,
006_4736_FY19,21,21,21.5,21,,,,,,,,,,,,,,,,,,,,,
006_4737_FY19,21.75,21.5,24,23.5,23.75,23.75,20,,,,,,,,,,,,,,,,,,
006_4840_FY19,18,16.5,18,17.75,21,,,,,,,,,,,,,,,,,,,,
006_5364_FY19,18.75,20.75,19.25,16.75,17,,,,,,,,,,,,,,,,,,,,
006_5567_FY19,21.75,20.5,21.25,19.25,18.25,21.5,,,,,,,,,,,,,,,,,,,
006_5569_FY19,19,21.5,19.5,17,18,,,,,,,,,,,,,,,,,,,,
006_5673_FY19,22,20.75,21.25,20,19,21.75,,,,,,,,,,,,,,,,,,,
